batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,100,10,0.9268,0.2635
1000,2.0,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,l2,100,10,0.9268,0.0055
1000,0.3,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,100,10,0.9268,0.0
1000,0.15,type_original_comps_100_dense_256_normalized_1_trainable_1_006.h5,linf,100,10,0.9268,0.0
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,40,1,0.9244,0.3157
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,40,1,0.9244,0.0122
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,40,1,0.9244,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,40,1,0.9244,0.0008
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,100,1,0.9244,0.3147
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,100,1,0.9244,0.0113
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,100,1,0.9244,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,100,1,0.9244,0.001
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,40,10,0.9244,0.3052
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,40,10,0.9244,0.0107
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,40,10,0.9244,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,40,10,0.9244,0.0006
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,100,10,0.9244,0.3042
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,l2,100,10,0.9244,0.0104
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,100,10,0.9244,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_0_005.h5,linf,100,10,0.9244,0.0006
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,40,1,0.9275,0.2589
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,40,1,0.9275,0.0064
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,40,1,0.9275,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,40,1,0.9275,0.0004
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,100,1,0.9275,0.2586
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,100,1,0.9275,0.0064
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,100,1,0.9275,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,100,1,0.9275,0.0005
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,40,10,0.9275,0.2504
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,40,10,0.9275,0.0059
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,40,10,0.9275,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,40,10,0.9275,0.0003
1000,1.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,100,10,0.9275,0.2495
1000,2.0,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,l2,100,10,0.9275,0.0058
1000,0.3,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,100,10,0.9275,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_0_trainable_1_006.h5,linf,100,10,0.9275,0.0004
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,40,1,0.9304,0.1686
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,40,1,0.9304,0.0006
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,40,1,0.9304,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,40,1,0.9304,0.0
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,100,1,0.9304,0.1669
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,100,1,0.9304,0.0005
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,100,1,0.9304,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,100,1,0.9304,0.0
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,40,10,0.9304,0.1605
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,40,10,0.9304,0.0006
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,40,10,0.9304,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,40,10,0.9304,0.0
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,100,10,0.9304,0.1593
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,l2,100,10,0.9304,0.0004
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,100,10,0.9304,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_0_009.h5,linf,100,10,0.9304,0.0
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,40,1,0.9283,0.2217
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,40,1,0.9283,0.0052
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,40,1,0.9283,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,40,1,0.9283,0.0002
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,100,1,0.9283,0.2213
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,100,1,0.9283,0.0042
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,100,1,0.9283,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,100,1,0.9283,0.0003
1000,1.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,40,10,0.9283,0.2156
1000,2.0,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,l2,40,10,0.9283,0.0035
1000,0.3,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,40,10,0.9283,0.0
1000,0.15,type_original_comps_100_dense_512_normalized_1_trainable_1_007.h5,linf,40,10,0.9283,0.0001
