batch_size,eps,model,norm,steps,trials,acc,robust-acc
1000,0.3,model-type_original_comps_30_dense_256_009.h5,linf,40,10,0.8573,0.0
1000,0.15,model-type_original_comps_30_dense_256_009.h5,linf,40,10,0.8573,0.0
1000,1.0,model-type_original_comps_30_dense_256_009.h5,l2,100,10,0.8573,0.0086
1000,2.0,model-type_original_comps_30_dense_256_009.h5,l2,100,10,0.8573,0.0
1000,0.3,model-type_original_comps_30_dense_256_009.h5,linf,100,10,0.8573,0.0
1000,0.15,model-type_original_comps_30_dense_256_009.h5,linf,100,10,0.8573,0.0
1000,1.0,model-type_original_comps_30_dense_512_008.h5,l2,40,1,0.799,0.023
1000,2.0,model-type_original_comps_30_dense_512_008.h5,l2,40,1,0.799,0.0
1000,0.3,model-type_original_comps_30_dense_512_008.h5,linf,40,1,0.799,0.0
1000,0.15,model-type_original_comps_30_dense_512_008.h5,linf,40,1,0.799,0.0
1000,1.0,model-type_original_comps_30_dense_512_008.h5,l2,100,1,0.799,0.0225
1000,2.0,model-type_original_comps_30_dense_512_008.h5,l2,100,1,0.799,0.0
1000,0.3,model-type_original_comps_30_dense_512_008.h5,linf,100,1,0.799,0.0
1000,0.15,model-type_original_comps_30_dense_512_008.h5,linf,100,1,0.799,0.0
1000,1.0,model-type_original_comps_30_dense_512_008.h5,l2,40,10,0.799,0.0138
1000,2.0,model-type_original_comps_30_dense_512_008.h5,l2,40,10,0.799,0.0
1000,0.3,model-type_original_comps_30_dense_512_008.h5,linf,40,10,0.799,0.0
1000,0.15,model-type_original_comps_30_dense_512_008.h5,linf,40,10,0.799,0.0
1000,1.0,model-type_original_comps_30_dense_512_008.h5,l2,100,10,0.799,0.0132
1000,2.0,model-type_original_comps_30_dense_512_008.h5,l2,100,10,0.799,0.0
1000,0.3,model-type_original_comps_30_dense_512_008.h5,linf,100,10,0.799,0.0
1000,0.15,model-type_original_comps_30_dense_512_008.h5,linf,100,10,0.799,0.0
1000,1.0,model-type_original_comps_40_dense_128_007.h5,l2,40,1,0.8363,0.0085
1000,2.0,model-type_original_comps_40_dense_128_007.h5,l2,40,1,0.8363,0.0
1000,0.3,model-type_original_comps_40_dense_128_007.h5,linf,40,1,0.8363,0.0
1000,0.15,model-type_original_comps_40_dense_128_007.h5,linf,40,1,0.8363,0.0
1000,1.0,model-type_original_comps_40_dense_128_007.h5,l2,100,1,0.8363,0.008
1000,2.0,model-type_original_comps_40_dense_128_007.h5,l2,100,1,0.8363,0.0
1000,0.3,model-type_original_comps_40_dense_128_007.h5,linf,100,1,0.8363,0.0
1000,0.15,model-type_original_comps_40_dense_128_007.h5,linf,100,1,0.8363,0.0
1000,1.0,model-type_original_comps_40_dense_128_007.h5,l2,40,10,0.8363,0.0062
1000,2.0,model-type_original_comps_40_dense_128_007.h5,l2,40,10,0.8363,0.0
1000,0.3,model-type_original_comps_40_dense_128_007.h5,linf,40,10,0.8363,0.0
1000,0.15,model-type_original_comps_40_dense_128_007.h5,linf,40,10,0.8363,0.0
1000,1.0,model-type_original_comps_40_dense_128_007.h5,l2,100,10,0.8363,0.0064
1000,2.0,model-type_original_comps_40_dense_128_007.h5,l2,100,10,0.8363,0.0
1000,0.3,model-type_original_comps_40_dense_128_007.h5,linf,100,10,0.8363,0.0
1000,0.15,model-type_original_comps_40_dense_128_007.h5,linf,100,10,0.8363,0.0
1000,1.0,model-type_original_comps_40_dense_256_006.h5,l2,40,1,0.8395,0.0155
1000,2.0,model-type_original_comps_40_dense_256_006.h5,l2,40,1,0.8395,0.0
1000,0.3,model-type_original_comps_40_dense_256_006.h5,linf,40,1,0.8395,0.0
1000,0.15,model-type_original_comps_40_dense_256_006.h5,linf,40,1,0.8395,0.0
1000,1.0,model-type_original_comps_40_dense_256_006.h5,l2,100,1,0.8395,0.0137
1000,2.0,model-type_original_comps_40_dense_256_006.h5,l2,100,1,0.8395,0.0
1000,0.3,model-type_original_comps_40_dense_256_006.h5,linf,100,1,0.8395,0.0
1000,0.15,model-type_original_comps_40_dense_256_006.h5,linf,100,1,0.8395,0.0
1000,1.0,model-type_original_comps_40_dense_256_006.h5,l2,40,10,0.8395,0.0101
1000,2.0,model-type_original_comps_40_dense_256_006.h5,l2,40,10,0.8395,0.0
1000,0.3,model-type_original_comps_40_dense_256_006.h5,linf,40,10,0.8395,0.0
1000,0.15,model-type_original_comps_40_dense_256_006.h5,linf,40,10,0.8395,0.0
1000,1.0,model-type_original_comps_40_dense_256_006.h5,l2,100,10,0.8395,0.0092
1000,2.0,model-type_original_comps_40_dense_256_006.h5,l2,100,10,0.8395,0.0
1000,0.3,model-type_original_comps_40_dense_256_006.h5,linf,100,10,0.8395,0.0
1000,0.15,model-type_original_comps_40_dense_256_006.h5,linf,100,10,0.8395,0.0
1000,1.0,model-type_original_comps_40_dense_512_007.h5,l2,40,1,0.8662,0.0592
1000,2.0,model-type_original_comps_40_dense_512_007.h5,l2,40,1,0.8662,0.0
1000,0.3,model-type_original_comps_40_dense_512_007.h5,linf,40,1,0.8662,0.0
1000,0.15,model-type_original_comps_40_dense_512_007.h5,linf,40,1,0.8662,0.0
1000,1.0,model-type_original_comps_40_dense_512_007.h5,l2,100,1,0.8662,0.059
1000,2.0,model-type_original_comps_40_dense_512_007.h5,l2,100,1,0.8662,0.0
1000,0.3,model-type_original_comps_40_dense_512_007.h5,linf,100,1,0.8662,0.0
1000,0.15,model-type_original_comps_40_dense_512_007.h5,linf,100,1,0.8662,0.0
1000,1.0,model-type_original_comps_40_dense_512_007.h5,l2,40,10,0.8662,0.048
1000,2.0,model-type_original_comps_40_dense_512_007.h5,l2,40,10,0.8662,0.0
1000,0.3,model-type_original_comps_40_dense_512_007.h5,linf,40,10,0.8662,0.0
1000,0.15,model-type_original_comps_40_dense_512_007.h5,linf,40,10,0.8662,0.0
1000,1.0,model-type_original_comps_40_dense_512_007.h5,l2,100,10,0.8662,0.0485
1000,2.0,model-type_original_comps_40_dense_512_007.h5,l2,100,10,0.8662,0.0
1000,0.3,model-type_original_comps_40_dense_512_007.h5,linf,100,10,0.8662,0.0
